ranking,id,name,ign,team,nationality,total_point,a_point,b_point,c_point,d_point
1,102021,구상민,Rb,Nongshim RedForce,대한민국,240,0,240,0,0
2,102018,이혁규,Dambi,Nongshim RedForce,대한민국,200,0,200,0,0
3,102019,김무빈,Francis,Nongshim RedForce,대한민국,115,0,115,0,0
4,102014,김원태,Karon,Gen.G,대한민국,80,0,80,0,0
5,102016,김나라,t3xture,Gen.G,대한민국,65,0,65,0,0
6,102020,박상현,Ivy,Nongshim RedForce,대한민국,30,0,30,0,0
7,102006,변상범,Munchkin,T1,대한민국,10,0,10,0,0
8,102009,송현민,HYUNMIN,DRX,대한민국,0,0,0,0,0
8,102010,안병욱,Hermes,DRX,대한민국,0,0,0,0,0
8,102011,김호용,Yong,DRX,대한민국,0,0,0,0,0
8,102012,김명관,MaKo,DRX,대한민국,0,0,0,0,0
8,102013,하현철,Ash,Gen.G,대한민국,0,0,0,0,0
8,102015,김종민,Lakia,Gen.G,대한민국,0,0,0,0,0
8,102022,정환,Xross,Nongshim RedForce,대한민국,0,0,0,0,0
8,102023,고재혁,C1ndeR,VARREL,대한민국,0,0,0,0,0
8,102024,정재성,Foxy9,VARREL,대한민국,0,0,0,0,0
8,102026,신상범,oonzmlp,VARREL,대한민국,0,0,0,0,0
8,102027,김태건,XuNa,VARREL,대한민국,0,0,0,0,0
8,102028,장석현,zexy,VARREL,대한민국,0,0,0,0,0
8,102029,유광희,Akame,DetonatioN FocusMe,대한민국,0,0,0,0,0
8,102030,이인표,mystic,DetonatioN FocusMe,대한민국,0,0,0,0,0
8,102031,염왕룡,eKo,ZETA DIVISION,대한민국,0,0,0,0,0
8,102032,고경원,UdoTan,Global Esports,대한민국,0,0,0,0,0
8,102017,김동하,ZynX,Gen.G,대한민국,0,0,0,0,0
8,102001,이재혁,Carpe,T1,대한민국,0,0,0,0,0
8,102025,김민혁,Klaus,VARREL,대한민국,0,0,0,0,0
8,102002,함우주,iZu,T1,대한민국,0,0,0,0,0
8,102003,김구택,stax,T1,대한민국,0,0,0,0,0
8,102004,김태오,Meteor,T1,대한민국,0,0,0,0,0
8,102005,유병철,BuZz,T1,대한민국,0,0,0,0,0
8,102007,강하빈,BeYN,DRX,대한민국,0,0,0,0,0
8,102008,노하준,free1ng,DRX,대한민국,0,0,0,0,0